Added user with id: 4, 1748017283931
Read all users from the database, 1748017809060
Read all users from the database,  1748025023322
Added user with id: 5, 1748025088132
Read all users from the database, 1748025092068
Read all users from the database,  1748025151679
Read all users from the database,  1748025242088
Read all users from the database,  1748025288564
Read all users from the database, 1748025588852
Read all users from the database, 1748025598489
Read all users from the database, 1748025614774
Read all users from the database, 1748026061733
Read all users from the database,  1748026172359
Read all users from the database,  1748026243006
Read all users from the database,  1748026292463
Read all users from the database,  1748027039067
Read all users from the database,  1748027057867
Read all users from the database,  1748030714256
Read all users from the database,  1748074816598
Read all users from the database,  1748074900543
Read all users from the database,  1748074951640
Read all users from the database,  1748075095468
Read all users from the database,  1748075205300
Get equipped character with relic id: 0 for user with id: 1, 1748075214564
Updated user_character with id_user 1 and id_character 4, 1748075214576
Updated user_character with id_user 1 and id_character 5, 1748075214579
Read all users from the database,  1748075298510
Read all users from the database,  1748075340924
Read all users from the database,  1748075547951
Get equipped character with relic id: 0 for user with id: 1, 1748075558521
Read all users from the database,  1748075893094
Get equipped character with relic id: 0 for user with id: 1, 1748075903136
Updated user_character with id_user 1 and id_character 5, 1748075903146
Updated user_character with id_user 1 and id_character 4, 1748075903149
Read all users from the database,  1748076067260
Get equipped character with relic id: 0 for user with id: 1, 1748076077950
Updated user_character with id_user 1 and id_character 4, 1748076077960
Updated user_character with id_user 1 and id_character 5, 1748076077962
Get equipped character with relic id: 0 for user with id: 1, 1748076105345
Updated user_character with id_user 1 and id_character 5, 1748076105352
Updated user_character with id_user 1 and id_character 5, 1748076105354
Read all users from the database,  1748076284805
Get equipped character with relic id: 0 for user with id: 1, 1748076293811
Updated user_character with id_user 1 and id_character 5, 1748076293820
Updated user_character with id_user 1 and id_character 4, 1748076293822
Read all users from the database,  1748076395686
Read all users from the database,  1748076575996
Read all users from the database,  1748076621378
Updated user_character with id_user 1 and id_character 4, 1748076628072
Read all users from the database,  1748077073092
Read all users from the database,  1748077267419
Read all users from the database,  1748077329655
Read all users from the database,  1748077946620
Read all users from the database, 1748078017581
Read all users from the database, , 1748078067192
Read all users from the database, , 1748078677051
Read all users from the database, , 1748078709025
Read all users from the database, , 1748078710921
Read all users from the database, , 1748078711478
Read all users from the database, , 1748078711923
Read all users from the database, , 1748078712355
Read all users from the database, , 1748078954964
Read all attacks for character with id 4, 1748082769480
Read all attacks for character with id 5, 1748082769490
Read all attacks for character with id 10, 1748082769492
Read all attacks for character with id 11, 1748082769494
Read all attacks for character with id 12, 1748082769496
Read all characters from database, 1748082769497
Added character with id 13, 1748082769503
Removed all skills for character with id 13, 1748082769504
Added skill with id 3 for character with id 13, 1748082769508
Added skill with id 2 for character with id 13, 1748082769511
Added playable character with id 13, 1748082769511
Read all attacks for character with id 4, 1748082771499
Read character with id 4, 1748082771500
Read all skills for character with id 4, 1748082771503
Read all attacks for character with id 5, 1748082771506
Read character with id 5, 1748082771506
Read all skills for character with id 5, 1748082771511
Read all attacks for character with id 13, 1748082771512
Read character with id 13, 1748082771513
Read all skills for character with id 13, 1748082771516
Read all playables from database, 1748082771516
Read all attacks for character with id 4, 1748082839617
Read character with id 4, 1748082839618
Read all skills for character with id 4, 1748082839621
Read all attacks for character with id 5, 1748082839622
Read character with id 5, 1748082839623
Read all skills for character with id 5, 1748082839626
Read all attacks for character with id 13, 1748082839628
Read character with id 13, 1748082839628
Read all skills for character with id 13, 1748082839631
Read all playables from database, 1748082839631
Read playable character with id 4, 1748082839632
Read all attacks for character with id 4, 1748082839634
Read character with id 4, 1748082839634
Read all skills for character with id 4, 1748082839637
Read all attacks for character with id 5, 1748082839639
Read character with id 5, 1748082839639
Read all skills for character with id 5, 1748082839643
Read all attacks for character with id 13, 1748082839644
Read character with id 13, 1748082839645
Read all skills for character with id 13, 1748082839648
Read all playables from database, 1748082839648
Read playable character with id 5, 1748082839648
Read all users from the database, , 1748082839650
Read all attacks for character with id 4, 1748082876413
Read all attacks for character with id 5, 1748082876418
Read all attacks for character with id 10, 1748082876419
Read all attacks for character with id 11, 1748082876421
Read all attacks for character with id 12, 1748082876424
Read all attacks for character with id 13, 1748082876426
Read all characters from database, 1748082876426
Added character with id 14, 1748082876441
Removed all skills for character with id 14, 1748082876442
Added playable character with id 14, 1748082876442
Read all attacks for character with id 4, 1748082879351
Read character with id 4, 1748082879351
Read all skills for character with id 4, 1748082879355
Read all attacks for character with id 5, 1748082879357
Read character with id 5, 1748082879357
Read all skills for character with id 5, 1748082879362
Read all attacks for character with id 13, 1748082879363
Read character with id 13, 1748082879363
Read all skills for character with id 13, 1748082879367
Read all playables from database, 1748082879367
Read all attacks for character with id 4, 1748082886676
Read character with id 4, 1748082886676
Read all skills for character with id 4, 1748082886680
Read all attacks for character with id 5, 1748082886682
Read character with id 5, 1748082886682
Read all skills for character with id 5, 1748082886691
Read all attacks for character with id 13, 1748082886692
Read character with id 13, 1748082886692
Read all skills for character with id 13, 1748082886696
Read all playables from database, 1748082886696
Read all attacks for character with id 4, 1748082915758
Read all attacks for character with id 5, 1748082915759
Read all attacks for character with id 10, 1748082915760
Read all attacks for character with id 11, 1748082915762
Read all attacks for character with id 12, 1748082915764
Read all attacks for character with id 13, 1748082915765
Read all attacks for character with id 14, 1748082915768
Read all characters from database, 1748082915768
Added character with id 15, 1748082915778
Removed all skills for character with id 15, 1748082915779
Added playable character with id 15, 1748082915779
Read all attacks for character with id 4, 1748082916640
Read character with id 4, 1748082916640
Read all skills for character with id 4, 1748082916643
Read all attacks for character with id 5, 1748082916645
Read character with id 5, 1748082916645
Read all skills for character with id 5, 1748082916648
Read all attacks for character with id 13, 1748082916649
Read character with id 13, 1748082916650
Read all skills for character with id 13, 1748082916653
Read all playables from database, 1748082916653
Read all playables from database, 1748083216571
Read all attacks for character with id 4, 1748083248498
Read character with id 4, 1748083248502
Read all skills for character with id 4, 1748083248508
Read all attacks for character with id 5, 1748083248509
Read character with id 5, 1748083248510
Read all skills for character with id 5, 1748083248514
Read all attacks for character with id 13, 1748083248515
Read character with id 13, 1748083248515
Read all skills for character with id 13, 1748083248519
Read all attacks for character with id 14, 1748083248526
Read character with id 14, 1748083248526
Read all skills for character with id 14, 1748083248527
Read all attacks for character with id 15, 1748083248528
Read character with id 15, 1748083248529
Read all skills for character with id 15, 1748083248529
Read all playables from database, 1748083248529
Read all attacks for character with id 4, 1748084811138
Read all attacks for character with id 5, 1748084811142
Read all attacks for character with id 10, 1748084811144
Read all attacks for character with id 11, 1748084811146
Read all attacks for character with id 12, 1748084811149
Read all attacks for character with id 13, 1748084811150
Read all attacks for character with id 14, 1748084811153
Read all attacks for character with id 15, 1748084811154
Read all characters from database, 1748084811154
Read all attacks for character with id 4, 1748084925685
Read all attacks for character with id 5, 1748084925690
Read all attacks for character with id 10, 1748084925692
